2026-04-02 14:15:09,760 services.whatsapp_parser INFO Imagens disponiveis: 0 | referencias: 1
2026-04-02 14:15:09,760 services.whatsapp_parser INFO Imagens disponiveis: 0 | referencias: 1
2026-04-02 14:15:09,763 routers.atas INFO [d3b46325-d4c1-4218-a715-8366e2316af2] Imagens extraídas do ZIP: 0 | keys: []
2026-04-02 14:15:09,763 routers.atas INFO [d3b46325-d4c1-4218-a715-8366e2316af2] Imagens extraídas do ZIP: 0 | keys: []
2026-04-02 14:15:09,763 routers.atas INFO [d3b46325-d4c1-4218-a715-8366e2316af2] Mensagens tipo imagem: 1 | arquivos: ['\u200eIMG-20251231-WA0009.jpg']
2026-04-02 14:15:09,763 routers.atas INFO [d3b46325-d4c1-4218-a715-8366e2316af2] Mensagens tipo imagem: 1 | arquivos: ['\u200eIMG-20251231-WA0009.jpg']
2026-04-02 14:22:44,526 services.whatsapp_parser INFO Imagens disponiveis: 0 | referencias: 1
2026-04-02 14:22:44,526 services.whatsapp_parser INFO Imagens disponiveis: 0 | referencias: 1
2026-04-02 14:22:44,528 routers.atas INFO [38495ef6-f6d4-456d-a227-47c83dc207e9] Imagens extraídas do ZIP: 0 | keys: []
2026-04-02 14:22:44,528 routers.atas INFO [38495ef6-f6d4-456d-a227-47c83dc207e9] Imagens extraídas do ZIP: 0 | keys: []
2026-04-02 14:22:44,528 routers.atas INFO [38495ef6-f6d4-456d-a227-47c83dc207e9] Mensagens tipo imagem: 1 | arquivos: ['\u200eIMG-20251231-WA0009.jpg']
2026-04-02 14:22:44,528 routers.atas INFO [38495ef6-f6d4-456d-a227-47c83dc207e9] Mensagens tipo imagem: 1 | arquivos: ['\u200eIMG-20251231-WA0009.jpg']
